Omgång;Luft;Helium;Skillnad
1;20,9;20,9;0
2;15,1;20,9;5,8
3;29,3;19,2;-10,1
4;21,8;20,9;-0,9
5;20;21,8;1,8
6;20;18,4;-1,6
7;23,4;21,8;-1,6
8;15,9;23,4;7,5
9;22,6;23,4;0,8
10;20,9;25,9;5
11;28,4;18,4;-10
12;21,8;24,2;2,4
13;16,7;19,2;2,5
14;18,4;21,8;3,4
15;27,6;29,3;1,7
16;24,2;20;-4,2
17;25,9;25,9;0
18;22,6;28,4;5,8
19;18,4;32,6;14,2
20;24,2;26,8;2,6
21;24,2;23,4;-0,8
22;18,4;25,1;6,7
23;25,9;22,6;-3,3
24;20,9;27,6;6,7
25;22,6;21,8;-0,8
26;21,8;26,8;5
27;23,4;25,1;1,7
28;26,8;24,2;-2,6
29;23,4;25,1;1,7
30;20,9;24,2;3,3
31;25,9;24,2;-1,7
32;23,4;25,1;1,7
33;23,4;21,8;-1,6
