Kön;Vikt;Öl;ÖlPerKg;BAK;Test1;Test2
female;59,9;5;0,083;0,1;10;6
female;58,1;2;0,034;0,03;9,5;9,25
female;49,9;9;0,18;0,19;9,75;4,75
male;87,1;8;0,092;0,12;10;7,5
male;78;3;0,038;0,04;10;9,75
female;113,4;7;0,062;0,095;9,5;6,5
female;56,7;3;0,053;0,07;9,5;7
male;79,4;5;0,063;0,06;9,75;8,75
female;79,4;3;0,038;0,02;9,5;6
male;124,7;5;0,04;0,05;9,75;8,5
female;59;4;0,068;0,07;9,5;8,5
male;76,2;6;0,079;0,1;9,5;7,75
female;58,1;5;0,086;0,085;9,75;8,25
male;111,6;7;0,063;0,09;10;7,75
male;74,4;1;0,013;0,01;9,5;9,5
male;79,4;4;0,05;0,05;10;9
