"Tid";"År";"Kön"
95;1908;"F"
86,6;1910;"F"
84,6;1911;"F"
80,6;1912;"F"
79,8;1912;"F"
78,8;1912;"F"
76,2;1915;"F"
74,4;1920;"F"
73,6;1920;"F"
72,8;1923;"F"
72,2;1924;"F"
70;1926;"F"
69,8;1929;"F"
69,4;1929;"F"
68;1930;"F"
66,6;1931;"F"
66;1933;"F"
65,4;1934;"F"
64,8;1934;"F"
64,6;1936;"F"
64,5;1956;"F"
64,2;1956;"F"
64;1956;"F"
63,3;1956;"F"
63,2;1956;"F"
62,4;1956;"F"
62;1956;"F"
61,5;1958;"F"
61,4;1958;"F"
61,2;1958;"F"
60,2;1960;"F"
60;1962;"F"
59,9;1962;"F"
59,5;1962;"F"
58,9;1964;"F"
58,9;1971;"F"
58,5;1972;"F"
58,25;1973;"F"
58,12;1973;"F"
57,61;1973;"F"
57,54;1973;"F"
57,51;1974;"F"
56,96;1974;"F"
56,38;1975;"F"
56,22;1975;"F"
55,73;1976;"F"
55,65;1976;"F"
55,41;1978;"F"
54,98;1980;"F"
54,79;1980;"F"
54,73;1986;"F"
54,48;1992;"F"
54,01;1994;"F"
53,8;2000;"F"
53,77;2000;"F"
53,66;2004;"F"
53,52;2004;"F"
53,42;2006;"F"
53,3;2006;"F"
52,88;2008;"F"
52,85;2009;"F"
52,56;2009;"F"
52,22;2009;"F"
52,07;2009;"F"
52,06;2016;"F"
51,71;2017;"F"
65,8;1905;"M"
65,6;1908;"M"
62,8;1910;"M"
62,4;1912;"M"
61,6;1912;"M"
61,4;1918;"M"
60,4;1920;"M"
58,6;1922;"M"
57,4;1924;"M"
56,8;1934;"M"
56,6;1935;"M"
56,4;1936;"M"
55,9;1944;"M"
55,8;1947;"M"
55,4;1948;"M"
54,8;1954;"M"
55,4;1956;"M"
55,2;1957;"M"
54,6;1957;"M"
54,4;1961;"M"
53,6;1961;"M"
52,9;1964;"M"
52,9;1964;"M"
52,6;1967;"M"
52,6;1968;"M"
52,2;1968;"M"
51,94;1970;"M"
51,47;1972;"M"
51,22;1972;"M"
51,12;1975;"M"
51,11;1975;"M"
50,59;1975;"M"
50,39;1976;"M"
49,99;1976;"M"
49,44;1976;"M"
49,36;1981;"M"
49,24;1985;"M"
48,95;1985;"M"
48,74;1986;"M"
48,42;1988;"M"
48,21;1994;"M"
48,18;2000;"M"
47,84;2000;"M"
47,6;2008;"M"
47,5;2008;"M"
47,24;2008;"M"
47,2;2008;"M"
47,05;2008;"M"
46,94;2009;"M"
46,91;2009;"M"
46,86;2022;"M"
